00,52
01,09
02,6a
03,d5
04,30
05,36
06,a5
07,38
08,bf
09,40
0a,a3
0b,9e
0c,81
0d,f3
0e,d7
0f,fb

10,7c
11,e3
12,39
13,82
14,9b
15,2f
16,ff
17,87
18,34
19,8e
1a,43
1b,44
1c,c4
1d,de
1e,e9
1f,cb

20,54
21,7b
22,94
23,32
24,a6
25,c2
26,23
27,3d
28,ee
29,4c
2a,95
2b,0b
2c,42
2d,fa
2e,c3
2f,4e

30,08
31,2e
32,a1
33,66
34,28
35,d9
36,24
37,b2
38,76
39,5b
3a,a2
3b,49
3c,6d
3d,8b
3e,d1
3f,25

40,72
41,f8
42,f6
43,64
44,86
45,68
46,98
47,16
48,d4
49,a4
4a,5c
4b,cc
4c,5d
4d,65
4e,b6
4f,92

50,6c
51,70
52,48
53,50
54,fd
55,ed
56,b9
57,da
58,5e
59,15
5a,46
5b,57
5c,a7
5d,8d
5e,9d
5f,84

60,90
61,d8
62,ab
63,00
64,8c
65,bc
66,d3
67,0a
68,f7
69,e4
6a,58
6b,05
6c,b8
6d,b3
6e,45
6f,06

70,d0
71,2c
72,1e
73,8f
74,ca
75,3f
76,0f
77,02
78,c1
79,af
7a,bd
7b,03
7c,01
7d,13
7e,8a
7f,6b

80,3a
81,91
82,11
83,41
84,4f
85,67
86,dc
87,ea
88,97
89,f2
8a,cf
8b,ce
8c,f0
8d,b4
8e,e6
8f,73

90,96
91,ac
92,74
93,22
94,e7
95,ad
96,35
97,85
98,e2
99,f9
9a,37
9b,e8
9c,1c
9d,75
9e,df
9f,6e

a0,47
a1,f1
a2,1a
a3,71
a4,1d
a5,29
a6,c5
a7,89
a8,6f
a9,b7
aa,62
ab,0e
ac,aa
ad,18
ae,be
af,1b

b0,fc
b1,56
b2,3e
b3,4b
b4,c6
b5,d2
b6,79
b7,20
b8,9a
b9,db
ba,c0
bb,fe
bc,78
bd,cd
be,5a
bf,f4

c0,1f
c1,dd
c2,a8
c3,33
c4,88
c5,07
c6,c7
c7,31
c8,b1
c9,12
ca,10
cb,59
cc,27
cd,80
ce,ec
cf,5f

d0,60
d1,51
d2,7f
d3,a9
d4,19
d5,b5
d6,4a
d7,0d
d8,2d
d9,e5
da,7a
db,9f
dc,93
dd,c9
de,9c
df,ef

e0,a0
e1,e0
e2,3b
e3,4d
e4,ae
e5,2a
e6,f5
e7,b0
e8,c8
e9,eb
ea,bb
eb,3c
ec,83
ed,53
ee,99
ef,61

f0,17
f1,2b
f2,04
f3,7e
f4,ba
f5,77
f6,d6
f7,26
f8,e1
f9,69
fa,14
fb,63
fc,55
fd,21
fe,0c
ff,7d
